"time","Mass.s","Mass.v","der(Mass.s)","der(Mass.v)","Mass.a","Mass.flange_a.s","Mass.flange_b.f","Mass.flange_b.s","Spring.f","Spring.s_rel","Fixed.flange.f","Mass.flange_a.f","Spring.flange_a.f","Spring.flange_b.f","Spring.flange_b.s"
0.06,0.1208619001427729,2.028190838668698,2.028190838668698,0.4395690499286136,0.4395690499286136,-0.8791380998572271,0,1.120861900142773,-0.8791380998572271,-0.8791380998572271,-0.8791380998572271,0.8791380998572271,0.8791380998572271,-0.8791380998572271,-0.8791380998572271
0.062,0.1249190843881251,2.029067932337686,2.029067932337686,0.4375404578059374,0.4375404578059374,-0.8750809156118748,0,1.124919084388125,-0.8750809156118748,-0.8750809156118748,-0.8750809156118748,0.8750809156118748,0.8750809156118748,-0.8750809156118748,-0.8750809156118748
0.064,0.1289780239281694,2.029940969314034,2.029940969314034,0.4355109880359153,0.4355109880359153,-0.8710219760718306,0,1.128978023928169,-0.8710219760718306,-0.8710219760718306,-0.8710219760718306,0.8710219760718306,0.8710219760718306,-0.8710219760718306,-0.8710219760718306
0.066,0.1330387113681271,2.030809947984813,2.030809947984813,0.4334806443159365,0.4334806443159365,-0.8669612886318729,0,1.133038711368127,-0.8669612886318729,-0.8669612886318729,-0.8669612886318729,0.8669612886318729,0.8669612886318729,-0.8669612886318729,-0.8669612886318729
0.068,0.1371011393132199,2.031674866737096,2.031674866737096,0.4314494303433901,0.4314494303433901,-0.8628988606867801,0,1.13710113931322,-0.8628988606867801,-0.8628988606867801,-0.8628988606867801,0.8628988606867801,0.8628988606867801,-0.8628988606867801,-0.8628988606867801
0.07000000000000001,0.1411653003686691,2.032535723957955,2.032535723957955,0.4294173498156655,0.4294173498156655,-0.858834699631331,0,1.141165300368669,-0.858834699631331,-0.858834699631331,-0.858834699631331,0.858834699631331,0.858834699631331,-0.858834699631331,-0.858834699631331
0.07199999999999999,0.1452311871396963,2.033392518034462,2.033392518034462,0.4273844064301519,0.4273844064301519,-0.8547688128603037,0,1.145231187139696,-0.8547688128603037,-0.8547688128603037,-0.8547688128603037,0.8547688128603037,0.8547688128603037,-0.8547688128603037,-0.8547688128603037
0.074,0.1492987922315229,2.034245247353689,2.034245247353689,0.4253506038842386,0.4253506038842386,-0.8507012077684771,0,1.149298792231523,-0.8507012077684771,-0.8507012077684771,-0.8507012077684771,0.8507012077684771,0.8507012077684771,-0.8507012077684771,-0.8507012077684771
0.076,0.1533681082493705,2.035093910302709,2.035093910302709,0.4233159458753147,0.4233159458753147,-0.8466318917506295,0,1.153368108249371,-0.8466318917506295,-0.8466318917506295,-0.8466318917506295,0.8466318917506295,0.8466318917506295,-0.8466318917506295,-0.8466318917506295
0.078,0.1574391277984604,2.035938505268593,2.035938505268593,0.4212804361007698,0.4212804361007698,-0.8425608722015395,0,1.15743912779846,-0.8425608722015395,-0.8425608722015395,-0.8425608722015395,0.8425608722015395,0.8425608722015395,-0.8425608722015395,-0.8425608722015395
